datetime_kst,n_sites_high_err,n_sites_total,max_z,mean_residual
2025-07-10 09:00:00,2,8,2.4009619,-0.029361768
2025-02-13 09:00:00,2,8,3.2714012,0.011658153
2025-01-14 17:00:00,2,8,3.9183226,-0.017115485
2025-01-15 09:00:00,2,7,2.7461245,0.00984587
2025-07-10 10:00:00,2,8,2.76639,-0.0073419027
2025-08-05 09:00:00,2,8,3.1788197,-0.03325086
2025-03-24 18:00:00,2,8,4.4439015,0.0039877016
2025-07-20 16:00:00,2,8,3.0516143,0.009808237
2025-04-28 08:00:00,2,8,2.877284,-0.017424675
2025-06-19 08:00:00,2,8,3.1001973,0.026781246
2025-04-28 09:00:00,2,8,2.8046896,-0.053330015
2025-01-15 17:00:00,2,8,2.4113812,0.021726884
2025-04-28 10:00:00,2,8,3.690588,-0.079242244
2025-02-23 13:00:00,2,8,2.0695112,0.010745011
2025-07-20 17:00:00,2,8,3.795644,-0.00014763698
2025-07-10 18:00:00,2,8,2.422283,-0.03378347
2025-02-13 18:00:00,2,8,5.6044607,0.023207974
2025-07-11 07:00:00,2,8,2.6221917,-0.018504638
2025-03-18 18:00:00,2,8,3.9715903,0.0059494246
2025-07-11 08:00:00,2,8,2.6772726,-0.0363377
2025-02-01 17:00:00,2,8,2.8412676,0.030802418
2025-01-17 09:00:00,2,8,2.9947748,0.01116132
2025-02-23 18:00:00,2,8,3.4458551,0.0029200478
2025-06-15 16:00:00,2,8,4.3786,-0.08813981
2025-06-11 09:00:00,2,8,2.1485744,-0.027048187
2025-06-29 08:00:00,2,8,5.4060946,0.024003655
2025-06-29 09:00:00,2,8,3.931302,0.046864457
2025-06-14 14:00:00,2,8,3.5037632,0.09529085
2025-02-02 17:00:00,2,8,2.6033099,0.035999145
2025-03-31 18:00:00,2,8,4.2760406,0.037471447
2025-08-10 18:00:00,2,8,2.5425885,-0.03756214
2025-06-29 11:00:00,2,8,2.5506616,0.08902819
2025-02-25 09:00:00,2,8,2.826779,0.03267955
2025-07-31 11:00:00,2,8,3.2509484,0.00037868693
2025-03-12 08:00:00,2,8,2.516905,-0.009300806
2025-01-19 10:00:00,2,8,2.471043,0.052184734
2025-07-21 08:00:00,2,8,2.9887893,0.00022248365
2025-07-31 12:00:00,2,8,2.6447861,-0.001054693
2025-07-12 11:00:00,2,8,3.301762,0.009006891
2025-06-30 08:00:00,2,8,2.4351766,-0.013086525
2025-06-16 16:00:00,2,8,3.4434986,-0.008391477
2025-02-25 15:00:00,2,8,2.1300848,-0.031560957
2025-06-30 09:00:00,2,8,2.4449055,0.00860312
2025-07-21 10:00:00,2,8,3.1944888,-0.0064092446
2025-07-31 14:00:00,2,8,2.9355352,0.037071276
2025-07-13 07:00:00,2,8,2.4221878,-0.020913001
2025-07-13 08:00:00,2,8,2.5937269,-0.011497115
2025-07-13 09:00:00,2,8,4.2879443,-0.052562732
2025-02-16 18:00:00,2,8,5.690017,-0.00573399
2025-02-17 09:00:00,2,8,2.8271828,0.01332654
