datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-03-14 18:00:00,7906.796931877732,5534.999662056565,2522270.599713046,77281,8,1588.165797299843,2371.797269821167,2371.797269821167,3.06905613258261
2025-03-15 08:00:00,360.42800175998127,1712.1898739151657,1656459.2352039707,77281,8,1287.0350559343638,-1351.7618721551844,1351.7618721551844,1.74915163126148
2025-03-15 09:00:00,2518.9970812816173,4076.8336946964264,3565169.446434735,77281,8,1888.1656300321577,-1557.836613414809,1557.836613414809,2.015808042616955
2025-03-15 10:00:00,12410.81606939435,10446.898747779429,11438567.364986906,77281,8,3382.0951147161586,1963.917321614921,1963.917321614921,2.5412679981042183
2025-03-15 11:00:00,21625.983561605215,18805.198538437486,32778771.483987357,77281,8,5725.274795499981,2820.7850231677294,2820.7850231677294,3.65003690838334
2025-03-15 12:00:00,29647.674836933613,22554.87980875373,42326413.04357178,77281,8,6505.875271135451,7092.795028179884,7092.795028179884,9.177928634696606
2025-03-15 13:00:00,29627.531781300902,21095.40213777125,32613236.687191553,77281,8,5710.800004131781,8532.129643529654,8532.129643529654,11.040397566710645
2025-03-15 14:00:00,19228.419362284243,13168.257984474301,13960326.8481735,77281,8,3736.352077651877,6060.161377809942,6060.161377809942,7.841722257488828
2025-03-15 15:00:00,12882.677938483655,12475.194308422506,14155951.049077619,77281,8,3762.439507696784,407.4836300611496,407.4836300611496,0.5272753070756714
2025-03-15 16:00:00,9600.958960894495,10178.330472473055,9650020.378794452,77281,8,3106.448193483106,-577.3715115785599,577.3715115785599,0.7471066776808787
2025-03-15 17:00:00,8855.938245043159,7239.643195211887,7351422.462801543,77281,8,2711.3506713078527,1616.2950498312712,1616.2950498312712,2.0914520384457647
2025-03-15 18:00:00,3820.1520618144423,2338.0275249145925,2299603.3674997496,77281,8,1516.4443173093266,1482.1245368998498,1482.1245368998498,1.9178381968399085
2025-03-16 08:00:00,3425.5940206144005,3680.9569139778614,1810093.4859702033,77281,8,1345.3971480459602,-255.3628933634609,255.3628933634609,0.33043425080351047
2025-03-16 09:00:00,12311.544628612697,13026.990425154567,7670111.628937523,77281,8,2769.4966381885215,-715.4457965418696,715.4457965418696,0.9257719187664104
2025-03-16 10:00:00,20961.205384120345,24237.200743362308,19076802.986056343,77281,8,4367.699965205525,-3275.9953592419624,3275.9953592419624,4.239069576276138
2025-03-16 11:00:00,26595.340769186616,32721.1104054749,24495943.56861691,77281,8,4949.337689895176,-6125.769636288285,6125.769636288285,7.926617973742944
2025-03-16 12:00:00,18635.120377600193,29465.34066131711,35983182.289523445,77281,8,5998.598360410826,-10830.220283716917,10830.220283716917,14.014078859896891
2025-03-16 13:00:00,20174.29570607841,24177.258675292134,30731008.77075618,77281,8,5543.55560725751,-4002.962969213724,4002.962969213724,5.179750480989796
2025-03-16 14:00:00,20052.46028343588,23975.380500406027,33084230.582250196,77281,8,5751.889305458702,-3922.9202169701457,3922.9202169701457,5.076176831265312
2025-03-16 15:00:00,17016.612086333334,17601.35431407392,16122134.92271775,77281,8,4015.237841363541,-584.7422277405858,584.7422277405858,0.7566442304584384
2025-03-16 16:00:00,39548.004958473146,32742.209289103746,13741783.109779228,77281,8,3706.9911127192127,6805.7956693694,6805.7956693694,8.806557458326626
2025-03-16 17:00:00,31036.796506345272,29868.77690924704,6035422.46883471,77281,8,2456.709683465816,1168.0195970982313,1168.0195970982313,1.51139296476266
2025-03-16 18:00:00,13081.515468806028,12018.788748666644,2469469.0165771465,77281,8,1571.4544271397585,1062.7267201393843,1062.7267201393843,1.375146181001002
